PIW_Posted-interrupt_wakeup_event_CPU1;1_IO-APIC_1-edge_i8042_CPU0;PIN_Posted-interrupt_notification_event_CPU0;THR_Threshold_APIC_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;MCP_Machine_check_polls_CPU2;MCE_Machine_check_exceptions_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;12_IO-APIC_12-edge_i8042_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;IWI_IRQ_work_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;NPI_Nested_posted-interrupt_event_CPU1;PIN_Posted-interrupt_notification_event_CPU2;TLB_TLB_shootdowns_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;timestamp_us;32_PCI-MSI_32768-edge_virtio0-config_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;LOC_Local_timer_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;NMI_Non-maskable_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;SPU_Spurious_interrupts_CPU2;MIS_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;SPU_Spurious_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;MCE_Machine_check_exceptions_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;MCP_Machine_check_polls_CPU0;CAL_Function_call_interrupts_CPU1;TLB_TLB_shootdowns_CPU0;MCP_Machine_check_polls_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU2;CAL_Function_call_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU1;12_IO-APIC_12-edge_i8042_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU0;PMI_Performance_monitoring_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;6_IO-APIC_6-edge_floppy_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;6_IO-APIC_6-edge_floppy_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;RES_Rescheduling_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU2;IWI_IRQ_work_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;TRM_Thermal_event_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;LOC_Local_timer_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;ERR_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;TLB_TLB_shootdowns_CPU2;RTR_APIC_ICR_read_retries_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;TRM_Thermal_event_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;LOC_Local_timer_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;1_IO-APIC_1-edge_i8042_CPU2;NPI_Nested_posted-interrupt_event_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;PMI_Performance_monitoring_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;NPI_Nested_posted-interrupt_event_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;12_IO-APIC_12-edge_i8042_CPU2;MCE_Machine_check_exceptions_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;THR_Threshold_APIC_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU1;CAL_Function_call_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1
0;9;0;0;0;1;0;0;40968;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;89;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;98;0;0;0;0;5;0;0;0;0;0;2016064;0;0;0;0;0;0;0;0;0;0;8888;0;0;662477;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40968;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;1001619;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;98;0;0;0;0;5;0;0;0;0;0;2017243;0;0;0;0;0;0;0;0;0;0;8888;0;0;662728;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40968;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;2002567;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;98;0;0;0;0;5;0;0;0;0;0;2018424;0;0;0;0;0;0;0;0;0;0;8888;0;0;662978;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40968;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;3003423;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;98;0;0;0;0;5;0;0;0;0;0;2019606;0;0;0;0;0;0;0;0;0;0;8888;0;0;663228;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40968;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;4004016;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;98;0;0;0;0;5;0;0;0;0;0;2020785;0;0;0;0;0;0;0;0;0;0;8888;0;0;663479;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40968;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;5004616;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;98;0;0;0;0;5;0;0;0;0;0;2021964;0;0;0;0;0;0;0;0;0;0;8888;0;0;663729;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40968;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;6005226;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;98;0;0;0;0;5;0;0;0;0;0;2023143;0;0;0;0;0;0;0;0;0;0;8888;0;0;663979;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40968;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;7006211;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;98;0;0;0;0;5;0;0;0;0;0;2024328;0;0;0;0;0;0;0;0;0;0;8888;0;0;664229;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40973;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;8006663;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;99;0;0;0;0;5;0;0;0;0;0;2025500;0;0;0;0;0;0;0;0;0;0;8888;0;0;664479;0;0;0;3;0;84;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40976;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;9007675;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;100;0;0;0;0;5;0;0;0;0;0;2026676;0;0;0;0;0;0;0;0;0;0;8888;0;0;664730;0;0;0;3;0;85;0;0;0;0;0;0;0;0;10808;0
0;9;0;0;0;1;0;0;40976;0;0;0;4;0;3186;0;0;0;0;0;47;0;0;0;10008323;0;0;0;308726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14043;0;1;1;0;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;101;0;0;0;0;5;0;0;0;0;0;2027855;0;0;0;0;0;0;0;0;0;0;8888;0;0;664980;0;0;0;3;0;86;0;0;0;0;0;0;0;0;10808;0
