PIW_Posted-interrupt_wakeup_event_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;SPU_Spurious_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;PIN_Posted-interrupt_notification_event_CPU1;timestamp_us;LOC_Local_timer_interrupts_CPU2;ERR_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;CAL_Function_call_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;RES_Rescheduling_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;12_IO-APIC_12-edge_i8042_CPU0;CAL_Function_call_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;IWI_IRQ_work_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;MCP_Machine_check_polls_CPU2;12_IO-APIC_12-edge_i8042_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;6_IO-APIC_6-edge_floppy_CPU2;6_IO-APIC_6-edge_floppy_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;TRM_Thermal_event_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;TRM_Thermal_event_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;MCP_Machine_check_polls_CPU1;NPI_Nested_posted-interrupt_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;THR_Threshold_APIC_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU1;TLB_TLB_shootdowns_CPU0;MCE_Machine_check_exceptions_CPU1;RES_Rescheduling_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;TLB_TLB_shootdowns_CPU2;NMI_Non-maskable_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;THR_Threshold_APIC_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;MCP_Machine_check_polls_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU0;NMI_Non-maskable_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU1;1_IO-APIC_1-edge_i8042_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;RES_Rescheduling_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;LOC_Local_timer_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;PIN_Posted-interrupt_notification_event_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;RTR_APIC_ICR_read_retries_CPU2;TLB_TLB_shootdowns_CPU1;LOC_Local_timer_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;PMI_Performance_monitoring_interrupts_CPU2;CAL_Function_call_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;RTR_APIC_ICR_read_retries_CPU1;1_IO-APIC_1-edge_i8042_CPU0;MIS_CPU0;SPU_Spurious_interrupts_CPU0;MCE_Machine_check_exceptions_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;SPU_Spurious_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;IWI_IRQ_work_interrupts_CPU1
0;0;0;0;1;0;11008237;598692;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1715529;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;12009058;598942;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1716711;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;13009513;599192;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1717890;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;14010121;599442;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1719069;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;15010725;599693;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1720249;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;16011328;599943;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1721428;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;17011937;600193;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1722607;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;18012537;600443;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1723786;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;19013138;600693;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40781;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1724966;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;20013748;600943;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40782;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1726148;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
0;0;0;0;1;0;21014346;601194;0;0;0;14043;0;0;0;0;5;0;15;0;0;0;0;0;4;0;0;0;0;1;0;84;40782;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3186;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;72;308726;0;0;0;0;0;0;0;0;0;0;47;1727327;0;0;0;10808;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;0;0;0;0;8888
