RTR_APIC_ICR_read_retries_CPU1;12_IO-APIC_12-edge_i8042_CPU0;RES_Rescheduling_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU2;CAL_Function_call_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;PIN_Posted-interrupt_notification_event_CPU2;RTR_APIC_ICR_read_retries_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;TLB_TLB_shootdowns_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;6_IO-APIC_6-edge_floppy_CPU2;RES_Rescheduling_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;MCE_Machine_check_exceptions_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;timestamp_us;1_IO-APIC_1-edge_i8042_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;PMI_Performance_monitoring_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;12_IO-APIC_12-edge_i8042_CPU1;MCP_Machine_check_polls_CPU1;12_IO-APIC_12-edge_i8042_CPU2;LOC_Local_timer_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU1;MCE_Machine_check_exceptions_CPU1;1_IO-APIC_1-edge_i8042_CPU1;NMI_Non-maskable_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;NPI_Nested_posted-interrupt_event_CPU1;6_IO-APIC_6-edge_floppy_CPU0;TRM_Thermal_event_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;TRM_Thermal_event_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU2;TLB_TLB_shootdowns_CPU0;TRM_Thermal_event_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;TLB_TLB_shootdowns_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;THR_Threshold_APIC_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;SPU_Spurious_interrupts_CPU1;MCP_Machine_check_polls_CPU0;MCP_Machine_check_polls_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;THR_Threshold_APIC_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;CAL_Function_call_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU0;RTR_APIC_ICR_read_retries_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;LOC_Local_timer_interrupts_CPU2;ERR_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;LOC_Local_timer_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;IWI_IRQ_work_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;MIS_CPU0;SPU_Spurious_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;CAL_Function_call_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;11008330;9;0;0;0;0;0;0;0;0;0;0;1;0;2570787;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;780201;0;131;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;12008925;9;0;0;0;0;0;0;0;0;0;0;1;0;2571967;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;780451;0;131;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;13009606;9;0;0;0;0;0;0;0;0;0;0;1;0;2573147;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;780701;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;14010131;9;0;0;0;0;0;0;0;0;0;0;1;0;2574326;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;780951;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;15010732;9;0;0;0;0;0;0;0;0;0;0;1;0;2575505;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;781201;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;16011334;9;0;0;0;0;0;0;0;0;0;0;1;0;2576684;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;781452;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;17012101;9;0;0;0;0;0;0;0;0;0;0;1;0;2577865;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;781702;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;18012697;9;0;0;0;0;0;0;0;0;0;0;1;0;2579044;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;781952;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41317;0;0;0;0;0;19013598;9;0;0;0;0;0;0;0;0;0;0;1;0;2580224;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;782202;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41319;0;0;0;0;0;20013907;9;0;0;0;0;0;0;0;0;0;0;1;0;2581403;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;782452;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
0;15;0;0;10808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;5;0;41319;0;0;0;0;0;21014506;9;0;0;0;0;0;0;0;0;0;0;1;0;2582582;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;4;3186;0;47;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;782702;0;132;308726;0;0;3;8888;0;0;0;0;14043;0
