LOC_Local_timer_interrupts_CPU1;MIS_CPU0;RES_Rescheduling_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;NPI_Nested_posted-interrupt_event_CPU2;6_IO-APIC_6-edge_floppy_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;1_IO-APIC_1-edge_i8042_CPU0;RES_Rescheduling_interrupts_CPU0;TLB_TLB_shootdowns_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;RTR_APIC_ICR_read_retries_CPU1;IWI_IRQ_work_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;SPU_Spurious_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU2;LOC_Local_timer_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;12_IO-APIC_12-edge_i8042_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;MCE_Machine_check_exceptions_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;NPI_Nested_posted-interrupt_event_CPU0;RES_Rescheduling_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;THR_Threshold_APIC_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;MCE_Machine_check_exceptions_CPU2;TRM_Thermal_event_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;RTR_APIC_ICR_read_retries_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;NMI_Non-maskable_interrupts_CPU0;MCP_Machine_check_polls_CPU0;PMI_Performance_monitoring_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;NMI_Non-maskable_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;ERR_CPU0;CAL_Function_call_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU1;NPI_Nested_posted-interrupt_event_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;SPU_Spurious_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;MCE_Machine_check_exceptions_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;1_IO-APIC_1-edge_i8042_CPU1;MCP_Machine_check_polls_CPU2;TLB_TLB_shootdowns_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;PIN_Posted-interrupt_notification_event_CPU0;PIN_Posted-interrupt_notification_event_CPU2;timestamp_us;9_IO-APIC_9-fasteoi_acpi_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;PMI_Performance_monitoring_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;MCP_Machine_check_polls_CPU1;RTR_APIC_ICR_read_retries_CPU0;TRM_Thermal_event_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU2;TLB_TLB_shootdowns_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;IWI_IRQ_work_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;CAL_Function_call_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;CAL_Function_call_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;IWI_IRQ_work_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;107;0;0;0;0;687764;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;90;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;11008165;0;0;0;0;0;2135213;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;107;0;0;0;0;688014;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;91;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;12008771;0;0;0;0;0;2136392;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;688264;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;91;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;13009374;0;0;0;0;0;2137571;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;688514;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;92;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;14010197;0;0;0;0;0;2138752;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;688764;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;92;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;15010578;0;0;0;0;0;2139931;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;689014;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;92;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;16011176;0;0;0;0;0;2141110;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;689265;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;92;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;17011782;0;0;0;0;0;2142289;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;689515;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;92;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;18012390;0;0;0;0;0;2143468;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;689765;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;92;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;19012989;0;0;0;0;0;2144647;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;690015;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;92;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;20013590;0;0;0;0;0;2145826;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
308726;0;0;0;0;0;0;0;9;5;0;0;0;8888;108;0;0;0;0;690265;0;0;0;0;0;0;0;0;0;0;0;3186;0;0;0;41029;0;0;0;92;0;0;0;0;0;1;0;0;0;0;0;0;14043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;0;0;0;0;21014195;0;0;0;0;0;2147007;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;10808;15;0;1;0;2
