PIW_Posted-interrupt_wakeup_event_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;6_IO-APIC_6-edge_floppy_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;THR_Threshold_APIC_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;IWI_IRQ_work_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU2;RTR_APIC_ICR_read_retries_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;6_IO-APIC_6-edge_floppy_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;MCE_Machine_check_exceptions_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;IWI_IRQ_work_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;LOC_Local_timer_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;THR_Threshold_APIC_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;MCE_Machine_check_exceptions_CPU1;NPI_Nested_posted-interrupt_event_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;TRM_Thermal_event_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;TLB_TLB_shootdowns_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;PMI_Performance_monitoring_interrupts_CPU2;MCP_Machine_check_polls_CPU2;TLB_TLB_shootdowns_CPU1;TLB_TLB_shootdowns_CPU0;timestamp_us;25_PCI-MSI_65536-edge_igb_uio_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;ERR_CPU0;RES_Rescheduling_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;NMI_Non-maskable_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;NPI_Nested_posted-interrupt_event_CPU2;RES_Rescheduling_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;SPU_Spurious_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU2;CAL_Function_call_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;6_IO-APIC_6-edge_floppy_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;PIN_Posted-interrupt_notification_event_CPU2;TRM_Thermal_event_interrupts_CPU2;MCP_Machine_check_polls_CPU1;CAL_Function_call_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;PMI_Performance_monitoring_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;LOC_Local_timer_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;SPU_Spurious_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;MCP_Machine_check_polls_CPU0;PIN_Posted-interrupt_notification_event_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;NMI_Non-maskable_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;MIS_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;PIN_Posted-interrupt_notification_event_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;IWI_IRQ_work_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2
0;0;1;0;0;0;3186;0;40828;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1805991;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;1;47;0;92;0;0;0;5;0;0;617889;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40828;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1807171;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;1;47;0;1001680;0;0;0;5;0;0;618140;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40828;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1808351;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;1;47;0;2002586;0;0;0;5;0;0;618391;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40828;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1809533;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;1;47;0;3003482;0;0;0;5;0;0;618641;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40828;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1810712;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;1;47;0;4004082;0;0;0;5;0;0;618891;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40828;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1811891;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;1;47;0;5004679;0;0;0;5;0;0;619141;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40828;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1813070;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;1;47;0;6005208;0;0;0;5;0;0;619391;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40828;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1814250;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;1;47;0;7005435;0;0;0;5;0;0;619641;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40833;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1815417;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;1;47;0;8005523;0;0;0;5;0;0;619891;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40836;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1816588;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;1;47;0;9005600;0;0;0;5;0;0;620141;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
0;0;1;0;0;0;3186;0;40836;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14043;0;0;0;0;0;0;8888;0;1817767;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;1;47;0;10006203;0;0;0;5;0;0;620391;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;10808;0;2;0;0;0;0;1;0;15;0;0;308726;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0
