IWI_IRQ_work_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;MCP_Machine_check_polls_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;MCE_Machine_check_exceptions_CPU0;NPI_Nested_posted-interrupt_event_CPU1;ERR_CPU0;SPU_Spurious_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU0;12_IO-APIC_12-edge_i8042_CPU2;MCP_Machine_check_polls_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;RES_Rescheduling_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;MIS_CPU0;TLB_TLB_shootdowns_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;LOC_Local_timer_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;12_IO-APIC_12-edge_i8042_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;timestamp_us;RES_Rescheduling_interrupts_CPU2;MCP_Machine_check_polls_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;RES_Rescheduling_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;THR_Threshold_APIC_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;PIN_Posted-interrupt_notification_event_CPU0;TRM_Thermal_event_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;6_IO-APIC_6-edge_floppy_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;12_IO-APIC_12-edge_i8042_CPU1;1_IO-APIC_1-edge_i8042_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;LOC_Local_timer_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;PIN_Posted-interrupt_notification_event_CPU1;TLB_TLB_shootdowns_CPU1;MCE_Machine_check_exceptions_CPU2;NMI_Non-maskable_interrupts_CPU1;TLB_TLB_shootdowns_CPU0;THR_Threshold_APIC_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;RTR_APIC_ICR_read_retries_CPU1;CAL_Function_call_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;CAL_Function_call_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;NPI_Nested_posted-interrupt_event_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;PMI_Performance_monitoring_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;NMI_Non-maskable_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;SPU_Spurious_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;MCE_Machine_check_exceptions_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;LOC_Local_timer_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;RTR_APIC_ICR_read_retries_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;PMI_Performance_monitoring_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU2;CAL_Function_call_interrupts_CPU2
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;11006763;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3713893;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1019204;0;54248;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;12007232;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3715085;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1019454;0;54248;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;13007608;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3716277;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1019704;0;54248;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;14007988;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3717471;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1019954;0;54248;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;15008333;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3718662;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1020204;0;54248;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;16009199;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3719853;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1020454;0;54249;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;17010209;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3721047;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1020704;0;54249;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;18010705;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3722241;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1020955;0;54249;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;19011229;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3723435;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1021205;0;54249;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;20011609;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3724629;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1021455;0;54249;0;0;0;0;0;11187
9325;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;4;0;0;0;0;0;0;0;2;313731;0;0;0;0;15;3;0;21012060;2;1;0;0;3354;0;0;0;0;0;0;0;0;170;0;0;0;3725821;0;0;0;42;0;0;0;0;0;186;0;0;0;0;0;0;0;0;0;0;0;14583;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;1021705;0;54249;0;0;0;0;0;11187
